Applicationid,Underwriter,Amountfinanced,Term,Status,Dealername,Dealergroup,Dealerstate,Dealercity,Applicationdate Date,Approvaldate Date,Bookeddate Date,Collateralyear,Collateraltype,Collateralnewused,Coficoauto8,Dti,Pti,Dealerrepresentative,Timetobook,Timetodecision,Dealerminimumrate,Cashdown,Totaldown,Isbusinessapp,Timetolastfund,Timetolastdecisiontolastcontract,Apr,Programmanual,Programdefault,Ltv,Dealerreserveamount,Dealerreservepercent,Backend,Invoice,Primaryficoauto8,Lender,Primarystate,Applicationsubmitteduser,Wasapproved,Wasapprovednotbooked,Clientdealerid,Class
245916,avera,99933.82,216,Booked,Blue Compass RV - Hickory - NC156,Blue Compass,NC,Claremont,2026-08-01,2026-08-03,2026-08-12,2027,RV,New,,42.98,12.86,jsmith,15935,2838,10.24,4000,21608,false,7448,5649,11.74,Core,Core,0.84,5996.03,6,0,118670,699,Source One Financial Services,NC, nathan mcpherson,1,0,NC156,Core
245871,mlomedico,16613.55,144,Decline,Unreel Marine - EFL129,EPIC,FL,Port Richey,2026-08-01,,,2015,Boat,Used,,60.72,5.69,S1House,,24,8.49,2000,2000,false,,,9.99,Core,Core,1.38,0,,0,12000,829,Source One Financial Services,NY, donavon evenson,0,0,EFL129,Core
245859,,45545,180,Auto Decline,"Thayer's Marine, Inc-CT105",,CT,Norwich,2026-08-01,,,2022,Boat,Used,,24.67,5.58,gcoulombe,,0,15.74,5000,20000,false,,,16.74,Silver 2,Silver 2,0.81,0,,0,56070,633,Source One Financial Services,NH,,0,0,CT105,Silver
246038,mlomedico,67821.19,180,Approved,RV DEPOT LLC - FL188,,FL,THONOTOSASSA,2026-08-01,2026-08-03,,2018,RV,Used,810,43.75,2.73,wstoutimore,,2839,7.99,10000,10000,false,,,8.99,Core,Not Applicable,0.63,0,,0,107350,745,Connexus Credit Union,FL, valon topalli,1,1,FL188,Not Applicable
245945,eavila,46880.15,204,Booked,Ron Hoover - Breckenridge - TX496,Ron Hoover,TX,Beckenridge,2026-08-01,2026-08-11,2026-08-11,2027,RV,New,,35.33,5.95,gott,14530,14275,7.99,0,0,false,254,1,9.49,Core,Core,1.41,2812.81,6,0,33355,792,Source One Financial Services,TX, cris stoker,1,0,TX496,Core
245972,mlomedico,35695,204,Approved,Blue Compass RV - Spartanburg - SC144,Blue Compass,SC,Duncan,2026-08-01,2026-08-01,,2026,RV,New,763,4.09,4.09,jsmith,,22,9.49,0,2750,false,,,10.99,Core,Core,0.9,0,,0,39860,760,Source One Financial Services,SC, john balma,1,1,SC144,Core
245932,ahunt,38422.97,180,Auto Approval,Ashley Marine LLC - Dothan - AL163,,AL,Dothan,2026-08-01,2026-08-01,,2026,Boat,New,,14.38,4.2,jsmith,,14,8.74,5000,5000,false,,,10.24,Core,Core,1.09,0,,0,35380.69,770,Source One Financial Services,AL, james pressley,1,1,AL163,Core
245847,sdelarosa,20599.06,180,Auto Approval,"Holman Motors, Inc. -OH111",,OH,Batavia,2026-08-01,2026-08-06,,2027,RV,New,,38.5,6.12,jharrington1,,7576,10.24,6000,6000,false,,,11.74,Core,Core,0.78,0,,0,26465,684,Source One Financial Services,OH,,1,1,OH111,Core
245891,sbaker,56762.63,240,Approved,Ron Hoover Companies Katy -TX275,Ron Hoover,TX,Katy,2026-08-01,2026-08-01,,2024,Boat,New,747,24.43,2.28,gott,,28,7.49,8000,8000,false,,,8.99,Core,Core,0.96,0,,0,59240,846,Source One Financial Services,TX, greg woods,1,1,TX275,Core
245993,ahunt,75196.25,180,Auto Approval,Colmans Country Campers - IL155,,IL,Hartford,2026-08-01,2026-08-01,,2026,RV,New,,35.89,9.7,gcoulombe,,18,8.74,0,0,false,,,10.24,Core,Core,1.14,0,,0,65952,764,Source One Financial Services,MO, david sanders,1,1,IL155,Core
245941,ahunt,36748.21,180,Auto Approval,"Whittle Boats, Inc -TX114",,TX,Lewisville,2026-08-01,2026-08-01,,2014,Boat,Used,,29.26,2.09,gott,,31,8.99,5000,5000,false,,,10.49,Core,Core,0.78,0,,0,47265,813,Source One Financial Services,OK, cory whittle,1,1,TX114,Core
245918,sbaker,12542.75,120,Approved,Texoma Boat House - OK146,,OK,Calera,2026-08-01,2026-08-01,,2018,Boat,Used,,40.53,1.17,jweller,,17,8.99,500,500,false,,,10.49,Core,Core,0.99,0,,0,12700,795,Source One Financial Services,TX, kristen thorn,1,1,OK146,Core
