Applicationid,Underwriter,Amountfinanced,Term,Status,Dealername,Dealergroup,Dealerstate,Dealercity,Applicationdate Date,Approvaldate Date,Bookeddate Date,Collateralyear,Collateraltype,Collateralnewused,Coficoauto8,Dti,Pti,Dealerrepresentative,Timetobook,Timetodecision,Dealerminimumrate,Cashdown,Totaldown,Isbusinessapp,Timetolastfund,Timetolastdecisiontolastcontract,Apr,Programmanual,Programdefault,Ltv,Dealerreserveamount,Dealerreservepercent,Backend,Invoice,Primaryficoauto8,Lender,Primarystate,Applicationsubmitteduser,Wasapproved,Wasapprovednotbooked,Clientdealerid,Class
249660,,36687.21,180,Auto Decline,Ron Hoover - San Antonio - TX500,Ron Hoover,TX,San Antonio,2026-08-15,,,2018,Boat,Used,,41.2,4.26,gott,,0,16.24,4000,4000,false,,,17.24,Silver 2,Silver 2,1.09,0,,0,33770,638,Source One Financial Services,TX,,0,0,TX500,Silver
249802,eavila,41592,180,Decline,Rocky Ridge - Idabel - OK149,Rocky Ridge,OK,Idabel,2026-08-15,,,2026,RV,New,,6.83,4.63,jweller,,15,9.49,0,0,false,,,11.24,Core,Not Applicable,0.95,0,,0,43761,748,Connexus Credit Union,OK, michael white,0,0,OK149,Not Applicable
249850,sdelarosa,36782,180,Decline,GREAT AMERICAN RV SUPERSTORE-TUPELO - MS114,,MS,BELDEN,2026-08-15,,,2026,RV,New,,48.81,5.99,jsmith,,2286,9.99,4000,4000,false,,,11.49,Core,Core,1.2,0,,0,30624,708,Source One Financial Services,MS, dj miller,0,0,MS114,Core
249559,rsimmons,63932.95,240,Decline,Fun Town RV-Giddings -TX314,Fun Town,TX,Giddings,2026-08-15,,,2026,RV,New,,50.68,5.95,gott,,2,10.24,3100,3100,false,,,11.74,Core,Core,0.86,0,,0,74426,694,Source One Financial Services,TX, angela morrell,0,0,TX314,Core
249754,,30498.28,180,Auto Decline,Blue Compass RV - Surprise - AZ363,Blue Compass,AZ,Surprise,2026-08-15,,,2026,RV,New,,36.42,6.03,edominguez,,0,22.99,10000,4189.23,false,,,23.99,Bronze,Bronze,1.06,0,,0,28738.5,588,Source One Financial Services,AZ,,0,0,AZ363,Business First
249607,rsimmons,28641.42,180,Auto Approval,Bent's RV - LA117,,LA,Boutte,2026-08-15,2026-08-20,,2026,RV,New,,39.31,3.01,gott,,7700,12.49,3500,7500,false,,,13.49,Silver 1,Silver 1,0.89,0,,0,32037,661,Source One Financial Services,LA, louis lebreton,1,1,LA117,Silver
249612,mnava,45331.63,180,Decline,General Rv Center - Huntley IL - IL234,General RV,IL,Huntley,2026-08-15,,,2017,RV,Used,533,35.69,2.48,gcoulombe,,39,11.24,5000,5500,false,,,12.74,Core,Core,1.25,0,,0,36300,684,Source One Financial Services,IL, michael basso,0,0,IL234,Core
249840,ahunt,12471,84,Auto Approval,Midway Auto & RV - Billings - MT107,,MT,Billings,2026-08-15,2026-08-17,,2012,RV,Used,850,21.14,2.92,dzilberchtein,,2960,9.49,5000,5000,false,,,9.49,Core,Core,1.08,0,,0,11550,861,Source One Financial Services,MT,,1,1,MT107,Core
249652,sbaker,68259.56,204,Auto Approval,AIRSTREAM OF DFW - TX447,,TX,FORT WORTH,2026-08-15,2026-08-19,,2026,RV,New,,33.12,2.87,gott,,5953,10.24,7600,7600,false,,,11.74,Core,Core,0.98,0,,0,69937,697,Source One Financial Services,TX, chad pinson,1,1,TX447,Core
249557,,23527.16,144,Auto Decline,Williamson RV LLC-IN209,,IN,Seymour,2026-08-15,,,2026,RV,New,,29.77,4.03,jharrington1,,0,22.99,0,0,false,,,23.99,Bronze,Bronze,0.99,0,,0,23700,617,Source One Financial Services,IN,,0,0,IN209,Business First
249703,eavila,21318.44,180,Decline,"RV COUNTRY ARIZONA, LLC - FLAGSTAFF -AZ332",RV Country,AZ,FLAGSTAFF,2026-08-15,,,2022,RV,Used,718,31.14,1.45,edominguez,,33,14.49,5000,5000,false,,,15.49,Silver 1,Silver 1,1.02,0,,0,20845,646,Source One Financial Services,AZ, derek burdine,0,0,AZ332,Silver
249685,sbaker,48416.57,180,Decline,Bogue RV - NC131,,NC,newport,2026-08-15,,,2027,RV,New,719,42.88,4.92,jsmith,,4117,9.49,6500,0,false,,,10.99,Core,Core,1.16,0,,0,41858,745,Source One Financial Services,NC, brandon lattimore,0,0,NC131,Core
249837,pmeza,23059.04,180,Decline,St Louis RV - MO155,,MO,O'Fallon,2026-08-15,,,2019,RV,Used,,18.73,3.62,jweller,,12,11.24,1000,3500,false,,,12.74,Core,Core,1.19,0,,0,19450,683,Source One Financial Services,MO, jason miller,0,0,MO155,Core
249747,,50245,180,Auto Decline,ROTH RV - GRAND RAPIDS - MN164,,MN,GRAND RAPIDS,2026-08-15,,,2026,RV,New,,20.35,4.42,dzilberchtein,,0,14.99,3500,3500,false,,,15.99,Silver 2,Silver 2,1.13,0,,0,44605,628,Source One Financial Services,TN,,0,0,MN164,Silver
249773,sbaker,32933.57,144,Auto Approval,Rocky Ridge RV - Tyler - TX574,Rocky Ridge,TX,Tyler,2026-08-15,2026-08-24,,2026,RV,New,,35.58,5.92,gott,,13121,10.99,3380,3380,false,,,10.99,Silver 1,Not Applicable,0.75,0,,0,43932,676,Connexus Credit Union,TX, brandon barsh,1,1,TX574,Not Applicable
249604,jrubi,13891.99,120,Pending,HI-WAY CAMPERS INC - CT104,,CT,Plainfield,2026-08-15,2026-08-15,,2023,RV,Used,,45.16,1.87,gcoulombe,,124,10.74,1400,1400,false,,,12.24,Core,Core,0.92,0,,0,15150,689,Source One Financial Services,CT, john riding,0,0,CT104,Core
249597,sdelarosa,41465.7,180,Auto Approval,ANGLERS CHOICE - LEXINGTON - NC101,,NC,LEXINGTON,2026-08-15,2026-08-15,,2019,Boat,Used,,20.87,6.42,jsmith,,104,10.99,0,7185,false,,,12.49,Core,Core,1.09,0,,0,38000,714,Source One Financial Services,NC, lee parker,1,1,NC101,Core
249793,mnava,47858,240,Booked,Blue Compass RV - St. Louis - MO230,Blue Compass,MO,Eureka,2026-08-15,2026-08-22,2026-08-22,2027,RV,New,826,13.02,2.53,jweller,10175,10121,7.49,4500,4500,false,18,36,8.99,Core,Core,1.1,2871.48,6,0,43418.5,890,Source One Financial Services,MO, alex kennard,1,0,MO230,Core
249705,rsimmons,75000,240,Decline,CAMPERS INN RV OF MADISON - AL116,Campers Inn,AL,MADISON,2026-08-15,,,2026,RV,New,,41.79,7.3,jsmith,,56,13.74,10000,10000,false,,,14.74,Silver 1,Silver 1,0.75,0,,0,99901,648,Source One Financial Services,AL, robert orwat,0,0,AL116,Silver
249587,,50717,180,Auto Decline,"Holman Motors, Inc. -OH111",,OH,Batavia,2026-08-15,,,2026,RV,New,,19.14,5.05,jharrington1,,0,22.99,5000,5000,false,,,23.99,Bronze,Bronze,0.71,0,,0,71109,612,Source One Financial Services,OH,,0,0,OH111,Business First
249821,ahunt,47054.18,180,Auto Approval,Texas Marine - Clear Lake -TX354,OneWater,TX,SEABROOK,2026-08-15,2026-08-17,,2018,Boat,Used,,25.31,2.29,gott,,2488,8.99,0,0,false,,,10.49,Core,Core,0.85,0,,0,55245,788,Source One Financial Services,TX, seth franco,1,1,TX354,Core
249817,mnava,24885.58,168,Booked,Blue Compass RV - Macon - GA157,Blue Compass,GA,Byron,2026-08-15,2026-08-24,2026-08-24,2014,RV,Used,,11.69,3.18,jsmith,13013,12994,9.49,500,500,false,16,3,10.99,Core,Core,1.6,1493.13,6,0,15550,792,Source One Financial Services,GA, zach carmichael,1,0,GA157,Core
249822,pmeza,16718.39,180,Decline,Optimum RV Zephyr Hills - FL164,Optimum RV,FL,Zephyr Hills,2026-08-15,,,2019,RV,Used,,34.81,3.04,wstoutimore,,14,14.99,3000,3000,false,,,15.99,Silver 1,Silver 1,1.24,0,,0,13450,652,Source One Financial Services,FL, todd glenn,0,0,FL164,Silver
249798,rsimmons,45104,180,Decline,GARLANDS RV OF TENNESSEE - TN122,,TN,SPRINGVILLE,2026-08-15,,,2020,RV,Used,532,27.31,3.08,jsmith,,31,7.99,4500,4500,false,,,9.49,Core,Core,0.8,0,,0,56475,804,Source One Financial Services,TN, howard willis,0,0,TN122,Core
