Applicationid,Underwriter,Amountfinanced,Term,Status,Dealername,Dealergroup,Dealerstate,Dealercity,Applicationdate Date,Approvaldate Date,Bookeddate Date,Collateralyear,Collateraltype,Collateralnewused,Coficoauto8,Dti,Pti,Dealerrepresentative,Timetobook,Timetodecision,Dealerminimumrate,Cashdown,Totaldown,Isbusinessapp,Timetolastfund,Timetolastdecisiontolastcontract,Apr,Programmanual,Programdefault,Ltv,Dealerreserveamount,Dealerreservepercent,Backend,Invoice,Primaryficoauto8,Lender,Primarystate,Applicationsubmitteduser,Wasapproved,Wasapprovednotbooked,Clientdealerid,Class
251690,eavila,30901.07,204,Booked,Fun Town RV-Denton -TX322,Fun Town,TX,Denton,2026-08-22,2026-08-29,2026-08-30,2026,RV,New,666,36.79,2.32,gott,11627,10123,8.99,2500,2500,false,8,1496,10.49,Core,Core,1.25,1854.06,6,0,24817,744,Source One Financial Services,TX, douglas santos,1,0,TX322,Core
251593,eavila,70300,240,Decline,MY RV SD - SCA112,,CA,EL CAJON,2026-08-22,,,2027,RV,New,,6.67,6.53,jrubi,,32,8.74,10000,10000,false,,,10.24,Core,Not Applicable,0.97,0,,0,72129,772,Connexus Credit Union,CA,,0,0,SCA112,Not Applicable
251500,mlomedico,46786,240,Contract Received,BAY MARINE INC - GA103,,GA,KENNESAW,2026-08-22,2026-09-03,,2023,Boat,New,,21.87,3.23,jsmith,,17481,10.49,7000,7000,false,,7,10.99,Core,Core,0.82,0,,0,57025,702,Source One Financial Services,GA, angi bruton,1,1,GA103,Core
251407,lgrace,29506.54,204,Booked,Ultimate Marine - EFL121,EPIC,FL,Orlando,2026-08-22,2026-08-31,2026-09-02,2026,Boat,New,,43.12,3.23,S1House,16278,13241,12.49,2800,2800,false,208,2829,13.49,Silver 1,Silver 1,1.09,1180.26,4,0,27065,672,Source One Financial Services,FL, donavon evenson,1,0,EFL121,Silver
251580,eavila,55054,144,Decline,Campinc LLC - OK110,,OK,McAlester,2026-08-22,,,2024,RV,New,,81.36,9.97,jweller,,8,10.24,0,105,false,,,11.74,Core,Core,1.19,0,,0,46209,693,Source One Financial Services,OK, jack elgin,0,0,OK110,Core
251507,hhisek,75782.58,180,Decline,Harvey RV and Marine - ME112,,ME,Glenburn,2026-08-22,,,2026,RV,New,662,43.58,7.97,gcoulombe,,7,10.24,4500,8500,false,,,11.74,Core,Core,0.98,0,,0,77035,691,Source One Financial Services,ME, tony shorey,0,0,ME112,Core
251513,ahunt,22945,144,Auto Approval,Bills Happy Camper Rv LLC-PA135,Warrior Performance,PA,Mill Hall,2026-08-22,2026-08-22,,2027,RV,New,,16.54,2.42,jharrington1,,85,9.74,0,0,false,,,11.24,Core,Core,1.08,0,,0,21148,737,Source One Financial Services,PA, nate rose,1,1,PA135,Core
251633,mlomedico,63121.75,204,Booked,Blue Compass RV - Prescott Valley - AZ362,Blue Compass,AZ,PRESCOTT VALLEY,2026-08-22,2026-08-25,2026-08-27,2021,RV,Used,,44.8,14.17,edominguez,7304,4532,10.74,6000,6000,false,2772,0,12.24,Core,Core,1.05,3787.3,6,0,60300,685,Source One Financial Services,AZ, michael bennett,1,0,AZ362,Core
251497,mlomedico,39396.22,220,Auto Approval,Petes RV Center - PA105,Pete's RV,PA,MOUNTVILLE,2026-08-22,2026-08-22,,2021,RV,Used,793,29.87,2.55,jharrington1,,11,7.99,500,11850,false,,,9.49,Core,Core,0.8,0,,0,49550,832,Source One Financial Services,PA, christine hamilton,1,1,PA105,Core
251578,mlomedico,45494.41,240,Decline,BYRON POWERSPORTS LLC - GA140,,GA,BYRON,2026-08-22,,,2027,RV,New,702,36.05,2.91,jsmith,,8,9.99,0,40000,false,,,11.49,Core,Core,0.6,0,,0,76230,720,Source One Financial Services,GA, tom bulger,0,0,GA140,Core
