"Client Dealer ID","Dealer Name","State","Assigned Rep","Current Demand Bucket","Pattern Type","Urgency Status","Confidence Score %","Post-Visit Lift %","Organic Ratio %","2025+ Visits","2025+ Applications","2025+ Approvals","2025+ Approval Rate %","2025+ Booked Loans","2025+ Booked Volume ($)","2025+ Look-To-Book %","2025+ Yield Per Visit ($)","Last Visit Date","Days Since Last Visit","Last App Date","Days Since Last App","Last Booked Date","Days Since Last Booked","Last 90D Apps (Summer 2026)","Last 90D Bookings","Last 90D Booked Volume ($)","Last 180D Apps (2026 YTD)","Last 180D Bookings","Last 180D Booked Volume ($)","Current Activity Recency Status","Decision Rationale & Flags"
"FL319","Auction Direct RV - FL319","FL","Pam Carter","HIGH_TLC","strategic_tlc","overdue","98","85","15","2","83","40","48","30","572187.8","36","286094","2025-11-20","273","2026-08-15","6","2026-08-19","2","21","11","200546.89999999997","54","18","308609.0999999999","Active (Last 90D)","Classified as Strategic High TLC (Confidence 98%). | High-Volume Enterprise Account: $572K in funded volume across 30 deals with 85% generated directly inside visit windows. | Why this rule applied: High revenue magnitude justifies proactive regular field maintenance to protect core production. | Recommendation: Maintain continuous 30–45 day executive relationship touch."
"NC153","Blue Compass RV - Charlotte - NC153","NC","Jeff Smith","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","65","52","48","0","141","20","14","16","598454.0000000001","11","0","Never","Never","2026-08-20","1","2026-08-17","4","58","9","308797.27","104","13","444202.64","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 65%). | Rooftop generates steady, high-volume funded loans organically ($598K across 16 deals) with only 5 lifetime visits. | 48% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"TN160","Campers Inn RV of Knoxville E - TN160","TN","Jeff Smith","HIGH_TLC","strategic_tlc","overdue","98","68","32","0","212","61","29","34","1637691.8599999999","16","0","Never","Never","2026-08-20","1","2026-08-06","15","77","11","596661.75","172","27","1375489.9099999997","Active (Last 90D)","Classified as Strategic High TLC (Confidence 98%). | High-Volume Enterprise Account: $1.64M in funded volume across 34 deals with 68% generated directly inside visit windows. | Why this rule applied: High revenue magnitude justifies proactive regular field maintenance to protect core production. | Recommendation: Maintain continuous 30–45 day executive relationship touch. | ⚠️ Flag: Fading TLC detected — dollar yield per visit dropped >40% over sequential cycles. Investigate F&I manager turnover or competitor pressure."
"SCA167","Blue Compass RV - San Marcos - SCA167","CA","John Rubi","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","80","0","100","0","52","6","12","5","450641.1","10","0","Never","Never","2026-08-12","9","2026-03-12","162","16","0","0","29","1","65910.98","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 80%). | Rooftop generates steady, high-volume funded loans organically ($451K across 5 deals) with only 5 lifetime visits. | 100% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"WA132","Poulsbo RV - Mt Vernon - WA132","WA","Larry Jablonoski","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","79","26","74","0","44","5","11","4","283647.82","9","0","2024-09-11","708","2026-08-07","14","2026-07-16","36","11","1","72979.65","22","1","72979.65","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 79%). | Rooftop generates steady, high-volume funded loans organically ($284K across 4 deals) with only 2 lifetime visits. | 74% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"SCA161","La Mesa RV Center - San Diego - SCA161","CA","John Rubi","HIGH_TLC","spike_and_decay","overdue","70","100","0","0","32","4","13","2","117891.02","6","0","Never","Never","2026-08-16","5","2026-07-26","26","16","2","117891.02","24","2","117891.02","Active (Last 90D)","Classified as Emerging High TLC (Confidence 70%). | 1 verified Spike & Decay cycle observed: In-person visit generated $118K in funded loans. | Why this rule applied: Single high-yield response following road visit indicates strong touch sensitivity. | Recommendation: Schedule a proactive confirmation visit within 30 days."
"SCA112","MY RV SD - SCA112","CA","John Rubi","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","25","75","0","239","50","21","25","1144660.83","10","0","2024-10-02","687","2026-08-20","1","2026-06-12","70","50","1","23883.1","91","3","89021.89","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($1.14M across 25 deals) with only 9 lifetime visits. | 75% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"TX571","Blue Compass RV - Katy - TX571","TX","George Ott","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","12","88","0","216","36","17","21","1320701.06","10","0","Never","Never","2026-08-19","2","2026-08-20","1","97","8","338973.26","167","18","985030.5400000002","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($1.32M across 21 deals) with only 1 lifetime visit. | 88% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"AZ362","Blue Compass RV - Prescott Valley - AZ362","AZ","Ericka Dominguez","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","76","0","100","0","19","1","5","1","98204.88","5","0","Never","Never","2026-08-17","4","2026-08-15","6","8","1","98204.88","19","1","98204.88","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 76%). | Rooftop generates steady, high-volume funded loans organically ($98K across 1 deals) with only 1 lifetime visit. | 100% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"SCA157","Giant RV - Colton - SCA157","CA","John Rubi","HIGH_TLC","strategic_tlc","on_track","98","78","22","6","106","26","25","18","1049896.81","17","174983","2025-10-02","322","2026-08-20","1","2026-08-17","4","22","4","248160.81","53","8","482048.84","Active (Last 90D)","Classified as Strategic High TLC (Confidence 98%). | High-Volume Enterprise Account: $1.05M in funded volume across 18 deals with 78% generated directly inside visit windows. | Why this rule applied: High revenue magnitude justifies proactive regular field maintenance to protect core production. | Recommendation: Maintain continuous 30–45 day executive relationship touch."
